name,type,rec
MERU TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
SOT TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
MOMBASA TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
COUNTY GOVERNMENT OF KAKAMEGA,County Government,1
COUNTY GOVERNMENT OF VIHIGA,County Assembly,1
MACHAKOS COUNTY,County Government,1
SIGALAGALA TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
SIGALAGALA TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
BARINGO TECHNICAL COLLEGE,Schools And Colleges,1
NAIVASHA WATER SEWERAGE AND SANITATION COMPANY LIMITED,Water Company,1
COUNTY GOVERNMENT OF BUSIA,County Government,1
MAKUENI COUNTY,Ministry,1
NOLTURESH LOITOKITOK WATER & SANITATION  CO. LTD,Parastatal,1
KENYA CEREAL ENHANCEMENT PROGRAMME(KCEP),Ministry,1
STATE DEPARTMENT OF AGRICULTURE LIVESTOCK OF AGRICULTURE,Ministry,1
KIIRUA TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
RWIKA TECHNICAL INSTITUTE,Schools And Colleges,1
MAKUENI HOSPITAL,Hospital,1
GOVERNMENT OF MAKUENI COUNTY,Hospital,1
WEST POKOT COUNTY ASSEMBLY,County Assembly,1
COUNTY GOVERNMENT OF WEST POKOT,County Government,1
COUNTY GOVERNMENT OF LAMU,County Government,1
NYAMIRA COUNTY,County Government,1
COUNTY GOVERNMENT OF KISUMU,County Government,1
GOVERNMENT OFMAKUENI COUNTY,County Government,1
TAITA TAVETA COUNTY GOVERNMENT,County Government,1
COUNTY GOVERNMENT OF BUSIA,County Assembly,1
GOVERNMENT PRESS,Ministry,1
GOVERNMENT PRESS,Ministry,1
MINISTRY OF ENERGY AND PETROLEUM,Ministry,1
MIGORI COUNTY,County Government,1
MIGORI COUNTY ASSEMBLY,County Assembly,1
KILIFI COUNTY GOVERNMENT,County Government,1
EMBU COUNTY GOVERNMENT,County Government,1
COUNTY ASSEMBLY OF SIAYA,County Assembly,1
COUNTY GOVERNMENT OF SIAYA,County Government,1
COUNTY GOVERNMENT OF SAMBURU,County Government,1
KERICHO COUNTY,County Government,1
NORTH EASTERN PROVINCE TECHNICAL TRAINING INSTITUTE (NEP TTI),Ministry,1
NATIONAL LANDS COMMISSION,Ministry,1
KAIBOI TECHNICAL TRAINING INSTITUTE,Schools And Colleges,1
KENYA PETROLEUM TECHNICAL ASSISTANCE PROJECT,Ministry,1
OL'LESSOS TECHNICAL TRAINING INSTITUTE,Ministry,1
KERICHO COUNTY ASSEMBLY,Ministry,1
MINISTRY OF ENERGY AND PETROLEUM,Ministry,1
SIAYA INSTITUTE OF TECHNOLOGY,Ministry,1
IMETHA WATER AND SANITATION CO. LTD,Parastatal,1
COUNTY GOVERNMENT OF GARISSA,County Government,1
KITUI COUNTY ASSEMBLY,County Assembly,1
ISIOLO COUNTY GOVERNMENT,County Government,1
NAKURU COUNTY GOVERNMENT,County Government,1
COUNTY GOVERNMENT OF MOMBASA,County Government,1
GARISSA COUNTY ASSEMBLY,County Assembly,1
KENYA WILDLIFE SERVICE,Ministry,1
KENYA LAW REFORM COMMISSION,Parastatal,1
TAITA TAVETA COUNTY GOVERNMENT,County Assembly,1
UASIN GISHU COUNTY EXECUTIVE,County Government,1
COMMISSION ON REVENUE ALLOCATION,Parastatal,1
COUNTY GOVERNMENT OF TRANSNZOIA,County Government,1
URBAN DEVELOPMENT DIRECTORATE,Ministry,1
ISIOLO WATER& SEWERAGE COMPANY LTD,Parastatal,1
COUNTY GOVERNMENT OF NYERI,County Government,1
VIHIGA COUNTY HEADQUARTERS,County Government,1
COUNTY GOVERNMENT OF BUNGOMA,County Government,1
MOMBASA COUNTY ASSEMBLY,County Assembly,1
NAROMORU WATER AND SANITATION COMPANY LTD,Parastatal,1
KIAMBU COUNTY GOVERNMENT,County Government,1
NAIROBI CITY COUNTY ASSEMBLY,County Assembly,1
COMMODITIES FUND,Parastatal,1
NAIROBI COUNTY EXECUTIVE,County Government,1
YATTA WATER SERVICES CO. LTD,Parastatal,1
MWALA WATER & SANITATION CO. LTD,Parastatal,1
KILIFI COUNTY,University,1
KIAMBERE MWINGI WATER & SANITATION COMPANY,Parastatal,1
WAJIR COUNTY GOVERNMENT,County Government,1
NYAHURURU WATER & SANITATION COMPANY,Parastatal,1
COUNTY GOVERNMENT OF HOMA-BAY,County Government,1
EMBE WATER & SANITATION,Parastatal,1
COUNTY GOVERNMENT OF KWALE,County Government,1
COUNTY ASSEMBLY BUNGOMA,County Assembly,1
TANA WATER AND SANITATION COMPANY LTD,Parastatal,1
KIBWEZI-MAKINDU WATER & SANITATION COMPANY LTD,Parastatal,1
KISII COUNTY HEALTH,County Government,1
KISII COUNTY ASSEMBLY,County Assembly,1
OFFICE OF THE DIRECTOR OF PUBLIC PROSECUTION,Ministry,1
KISII COUNTY GOVERNMENT,County Government,1
KISII COUNTY,County Government,1
COUNTY ASSEMBLY OF KILIFI,County Assembly,1
STATE DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Ministry,1
STATE DEPARTMENT OF LANDS,Ministry,1
STATE DEPARTMENT OF WORKS,Ministry,1
NAIROBI CITY COUNTY,County Government,1
NITHI WATER AND SANITATION COMPANY LTD,Parastatal,1
JUNGLE GROUP,Parastatal,1
AGRICULTURAL FINANCE CORPORATION,Parastatal,1
CABINET AFFAIRS OFFICE,Ministry,1
KENYA VETERINARY VACCINES PRODUCTION INSTITUTE,Parastatal,1
TURKANA COUNTY,County Government,1
MACHAKOS WATER AND SEWERAGE COMPANY,Parastatal,1
KENYA INSTITUTE OF MASS COMMUNICATION,Parastatal,1
STATE DEPARTMENT OF PUBLIC WORKS,Ministry,1
KENYA  TECHNICAL TRAINERS COLLEGE,Schools And Colleges,1
COAST INSTITUTE OF TECHNOLOGY-VOI,Schools And Colleges,1
KENYA INSTITUTE OF SUPPLIES MANAGEMENT (KISM),Ministry,1
SOUTH NYANZA SUGAR,Ministry,1
TEST COMPANY,Commission,1
KENYA RAILWAYS STAFF RETIREMENT BENEFITS SCHEME,Ministry,1
THE SACCO SOCIETY REGULATORY AUTHORITY,Parastatal,1
IGQOESORU,Banks,1
OSUWEBOWUFO,Water Company,1
STATE DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Ministry,1
STATE DEPARTMENT OF BASIC EDUCATION,Ministry,1
STATE DEPARTMENT OF BASIC EDUCATION,Ministry,1
HOMABAY COUNTY ASSEMBLY,County Assembly,1
COUNTY ASSEMBLY OF KIRINYAGA,County Assembly,1
STATES DEPARTMENT OF PLANNING & STATISTICS,Ministry,1
PARLIAMENTARY SERVICE COMMISSION,Commission,1
"MINISTRY OF TRANSPORT INFRASTRUCTURE, HOUSING AND URBAN DEVELOPMENT",Ministry,1
STATE DEPARTMENT OF IRRIGATION,Ministry,1
ENGINEERS BOARD OF KENYA,Parastatal,1
ILECOVUPEU,Hospital,1
UDUBEFUK,Local Authorities,1
STATE DEPARTMENT FOR UNIVERSITY EDUCATION,Ministry,1
DIRECTORATE OF GEOLOGICAL SURVEYS,Ministry,1
RANDYPRURE,Hospital,1
TERRYLIP,Local Authorities,1
KENYA COMPANY-TEST,Parastatal,1
DIRECTORATE OF CRIMINAL INVESTIGATIONS,Ministry,1
MINISTRY OF LAND AND PHYSICAL PLANNING,Ministry,1
MAKUENI COUNTY ASSEMBLY,County Assembly,1
JUDICIARY TRAINING INSTITUTE,Commission,1
STATE DEPARTMENT OF GENDER AFFAIRS,Ministry,1
