procuring_entity,procurement_ref_no,description,contractor,amount,procuring_method,advert_date,notification_date,contract_signing,completion_date,tenders_sold,bids_received,page
KENYA PORTS AUTHORITY,KPA/043/2014-15/CCE,"Supply , Installation and Commissioning of 2No. Godiver Pumps",M/s Saqua Solution,"8,473,327.60",Direct Procurement,9/16/2014,2/13/2015,2/20/2015,4/30/2015,1,1,38
KENYA PORTS AUTHORITY,KPA/089/2014-15/MO,Supply and Commissioning of 2No.New Mounted Engine    Drive High Pressure Berth Washing Pump,M/s Coast Industrial and Safety Suppliers Ltd,"6,393,920.00",Restricted Tender,1/27/2015,3/12/2015,3/20/2015,5/30/2015,7,7,38
THE TECHNICAL UNIVERSITY OF KENYA(TU-K),TUK/33/2014/2015,Tender for completion works at proposed Block S-Supply delivery installation testing and commissioning of data and voice communication system,M/S ELECTROSERVE LTD,"8,013,800.00",Open tender,10/24/2014,3/25/2015,5/15/2015,6/30/2016,26,24,38
KENYA BUREAU OF STANDARDS,KEBS/T066/2013/2014,"SUPPLY, DELIVERY, ISTALLATION AND USER TRAINING OF LAB. EQUIPMENT",SCIENCESCOPE,"26,632,725.00",Open tender,5/12/2014,6/30/2014,10/13/2014,1/30/2015,32,32,38
KENYA BUREAU OF STANDARDS,KEBS/T066/2013/2014,"SUPPLY, DELIVERY, INSTALLATION AND USER TRAINING OF LAB. EQUIPMENT",ACQUACHEM LTD,"8,880,000.00",Open tender,5/12/2014,6/30/2014,9/15/2014,9/30/2014,32,32,38
KENYA BUREAU OF STANDARDS,KEBS/T066/2013/2014,"SUPPLY, DELIVERY, INSTALLATION AND USER TRAINING OF LAB. EQUIPMENT",ESTEC LIMITED,"8,198,050.00",Open tender,5/12/2014,6/30/2014,9/15/2014,10/31/2014,32,32,38
KENYA BUREAU OF STANDARDS,KEBS/T066/2013/2014,"SUPPLY, DELIVERY, INSTALLATION AND USER TRAINING OF LAB. EQUIPMENT",SESYA LIMITED,"9,196,614.00",Open tender,5/12/2014,6/30/2014,8/21/2014,10/31/2014,32,32,38
KENYA BUREAU OF STANDARDS,KEBS/T062/2013/2014,"SUPPLY, INSTALLATION AND IMPLEMENTATION OF SERVER VIRTUALIZATION",DIMENSION DATA SOLUTIONS LTD,"12,447,305.85",Open tender,1/24/2014,5/16/2014,6/26/2014,6/30/2014,8,8,38
KENYA BUREAU OF STANDARDS,KEBS/HQS/Q063/2013/2014,PROVISION OF CLEANING SERVICES,LEWAR VENTURES,"6,445,640.64",Request for Quotations,10/25/2013,11/13/2013,12/4/2013,11/30/2014,12,10,38
NATIONAL HOSPITAL INSURANCE FUND,NHIF/005/2013-2014,Provision of Enterprise Contract Management Solution,Web Tribe Limited,"20,000,000.00",Open tender,6/9/2014,11/14/2014,5/6/2014,3/16/2016,7,7,38
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/926/2014,PERIODIC MAINTENANCE KIMENDE-LONGONOT TURNOFF (A104) ROAD,M/s. Lirona Construction Ltd.,"99,536,325.00",Open tender,12/17/2014,2/16/2015,3/12/2015,4/27/2016,9,8,38
KENYA FERRY SERVICES LTD,KFS/FERRIES/01/09/2014,"Design, build, supply and commissoning of two new passenger/vehicle ferries.",Turkey,"1,683,211,185.00",Open tender,9/5/2014,9/5/2014,12/20/2014,12/20/2014,54,5,38
KENYA FERRY SERVICES LTD,KFS/IC/01/11/2014,Provision of staff medcal nsurance cover.,Jubilee Insurance Company of Kenya,"39,573,630.00",Open tender,11/14/2014,12/20/2014,1/14/2015,1/14/2016,17,10,38
KENYA AIRPORTS AUTHORITY,KAA/256/2014-2015,Provision of cleaning services at JKIA terminal 2.,M/S Prolific works Ltd,"27,402,202.08",Open tender,7/20/2014,10/14/2014,11/20/2014,11/20/2017,35,19,38
KENYA AIRPORTS AUTHORITY,KAA/ES/MIA/935/M,Replacement of lifts in Moi Int. Airport.,M/S East Africa Elevator Co. LTD,"19,600,000.00",Open tender,8/15/2014,11/4/2014,11/4/2014,7/4/2015,7,6,38
KENYA AIRPORTS AUTHORITY,KAA/ES/VOL/932/C,Proposed rehabillitation of Voi (Ikanga) airstrip.,M/S Don-woods Co. ltd,"241,000,034.00",Open tender,8/18/2014,10/14/2014,11/7/2014,8/7/2015,40,22,38
KENYA AIRPORTS AUTHORITY,KAA/ES/SUNEKA/955/B,Proposed construction of passager lounge and fencing of Suneka Airstrip.,M/S Vinbel nternational Ltd,"52,846,114.20",Open tender,9/9/2014,10/27/2014,12/9/2014,12/9/2015,47,32,39
NATIONAL AIDS CONTROL COUNCIL,NACC/011/2014/2015,Provision of Wide Area Network and Internet Services,Safaricom Ltd,"5,249,462.00",Open tender,3/4/2015,5/8/2015,5/17/2015,3/31/2016,7,7,39
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/NRT/154/2014,SPOT IMPROVEMENT OF C54 JN (NYARU) – ITEN (JN C51) (C53) ROAD.,M/s Romax Contractors Limited.,"5,960,004.00",Open tender,12/17/2014,2/16/2015,3/12/2015,11/11/2015,24,22,39
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/SRT/136/2014,ROUTINE MAINTENANCE OF BOMET-LITEIN (C24) RAOD.,M/s.  Wayland Holdings Co. Ltd,"8,929,000.00",Open tender,12/17/2014,2/16/2015,3/12/2015,11/11/2015,16,16,39
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/SRT/135/2014,ROUTINE MAINTENANCE OF LONGONOT TURNOFF-LANET (A104) ROAD,M/s. Toboroi Enterprises Limited,"6,463,000.00",Open tender,12/17/2015,2/16/2014,3/12/2015,9/11/2015,9,9,39
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/928/2014,ROUTINE MAINTENANCE OF (DB MWINGI) – UKASI JUNCT (B8) MADOGO (A3)  ROAD,M/s. Duale Investments,"33,591,250.00",Open tender,12/17/2014,2/16/2015,3/18/2015,2/27/2016,22,20,39
KENYA NATIONAL HIGHWAYS AUTHORITY,KENHA/927/2014,PERIODIC MAINTENANCE OF C59 JUNCTION (OUTERING) KANGUNDO - KAMULU ROAD,M/s Samar  Construction Co. Ltd,"130,638,900.00",Open tender,12/17/2014,2/16/2015,3/12/2015,1/11/2016,21,21,39
KENYA POST OFFICE SAVINGS BANK,KPOSB/001/2015-2016,Tender for Provision of Security Guarding Services for Category A branches and locations,Brinks Security Services Ltd,"59,587,680.00",Open tender,1/19/2015,5/6/2015,5/29/2015,5/30/2017,17,12,39
KENYA POST OFFICE SAVINGS BANK,KPOSB/004/2015-2016,"Tender Award for Supply, Installation and Commissioning of a Card Printing System",Compulynx Ltd,"38,575,336.00",Open tender,2/26/2015,4/20/2015,5/29/2015,5/29/2020,17,9,39
KENYA REVENUE AUTHORITY,KRA/HQS/QTN-335/2014-2015.,Framework Contract for Provision of Conference and Accomodation Facilities.,Lake Naivasha Simba Lodge,"5,999,999.00",Request for Quotations,7/10/2014,7/15/2014,12/19/2014,7/14/2015,0,3,39
MAASAI MARA UNIVERSITY,MMU/T/070/014-015,PROPOSED CONSTRUCTION OF OFFICES ABOVE EXISTING  LECTURE HALLS,STROIKA CONSTRUCTION LTD,"11,980,148.00",Open tender,3/2/2015,5/6/2015,5/20/2015,7/27/2015,22,12,39
KENYA REVENUE AUTHORITY,KRA/HQS/QTN-018/2014-2015.,Framework Contract for Provision of Conference Facilities.,Windsor Golf Hotel,"5,999,999.00",Request for Quotations,7/10/2014,7/15/2014,11/18/2014,7/14/2015,2,2,39
MAASAI MARA UNIVERSITY,MMU/060/013-014,PURCHASE OF 62SEATER SEMI LUXURY BUS,ASSOCIATED MOTORS LTD,"10,574,640.00",Open tender,3/20/2014,7/14/2014,7/28/2014,3/24/2015,4,4,39
MAASAI MARA UNIVERSITY,MaMU/EOI/056/2013-2014,PURCHASE OF LAND NEXT TO MAASAI MARA GAME RESERVE,NKOBULU OLE NKOGONI,"5,264,000.00",Expression of Interest,9/12/2013,11/5/2013,11/27/2013,1/20/2014,0,7,39
THE NATIONAL TREASURY,TNT/016/2014-2015,Provision of fleet management solution for the leased motor vehicles for the National Police Service Transport,M/s Kingsway Auto Watch Limited,"102,612,440.00",Restricted Tender,12/28/2014,3/30/2015,4/8/2015,3/8/2016,10,5,39
KENYA REVENUE AUTHORITY,KRA/HQS/QTN/050/2014-2015,Framework Contract for Provision of Conference Facilities.,Merica Hotel,"5,999,999.00",Request for Quotations,7/30/2014,8/19/2014,12/18/2014,8/18/2015,4,3,39
KENYA REVENUE AUTHORITY,KRA/HQS/QTN/040/2014-2015,Framework Contract for Provision of Conference Facilities.,Laico Regency,"5,999,999.00",Request for Quotations,7/28/2014,8/19/2014,12/17/2014,8/18/2015,4,3,39
KENYA REVENUE AUTHORITY,KRA/HQS/QTN/005/2014-2015,Framework Contract for the Provision of Conference Facilities.,Mombasa Beach Hotel,"5,999,999.00",Request for Quotations,7/25/2014,8/19/2014,12/20/2014,8/18/2015,6,4,39
KENYA REVENUE AUTHORITY,KRA/HQS/QTN/029/2014-2015,Framework Contract for the Provision of Full Board Accomodation & Conference Facilities.,Leopard Beach Restort and Spa,"5,999,999.00",Request for Quotations,7/18/2014,8/19/2014,11/19/2014,8/18/2015,4,3,39
KENYA REVENUE AUTHORITY,KRA/HQS/QTN/035/2014-2015,Framework Contract for the Provision of Conference Facilities and Full Board  Accomodation.,Olutukai Lodge Ltd,"5,999,999.00",Request for Quotations,7/22/2014,8/19/2014,11/16/2015,1/19/2015,3,3,39
MULTIMEDIA UNIVERSITY COLLEGE,MMU/PW/08/2014/2015,"PARTIAL CONSTRUCTION OF PERIMETER WALL, GATE HOUSES AND ASSOCIATED WORKS",M/s Epco Builders Limited,"84,729,344.00",Open tender,10/31/2014,12/12/2014,1/26/2015,11/9/2015,19,19,40
MULTIMEDIA UNIVERSITY COLLEGE,MMU / HL / 10 / 2014 / 2015,SUPPLY AND DELIVERY OF ASSORTED HOTEL LINEN.,M/S WARWICK ENTERPRISES,"6,869,200.00",Open tender,10/31/2014,11/28/2014,12/17/2014,1/17/2015,16,16,40
MULTIMEDIA UNIVERSITY COLLEGE,MMU/HDB/09/2014/15,"Supply, delivery and fitting of divan beds & heavy duty Seal mattresses for the hotel.",M/S TESMA VENTURES,"7,332,624.00",Open tender,10/31/2014,11/28/2014,12/17/2014,1/17/2015,14,14,40
MULTIMEDIA UNIVERSITY COLLEGE,MMU / HL / 10 / 2014 / 2015,SUPPLY AND DELIVERY OF ASSORTED HOTEL LINEN,M/S TESMA VENTURES,"11,888,605.00",Open tender,10/31/2014,11/28/2014,12/17/2014,1/17/2015,16,16,40
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/1/2015/16,Supply of Herbicides (Twigasate),Twiga Chemicals,"9,739,400.00",Open tender,12/27/2015,2/27/2015,2/23/2015,3/2/2015,10,10,40
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/1/2015/16,Supply of Herbicides (Primagram),Twiga Chemicals,"23,905,800.00",Open tender,12/27/2015,2/27/2015,2/23/2015,3/2/2015,10,10,40
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/1/2015/16,Supply of Herbicides (Twigamethaline),Twiga Chemicals,"12,948,975.00",Open tender,12/27/2015,2/27/2015,2/23/2015,3/2/2015,10,10,40
MULTIMEDIA UNIVERSITY COLLEGE,MMU/TC/PI/06/2014/15,Provision of Property Insurance Cover,M/S The Monarch Insurance Co. Ltd,"6,374,174.77",Open tender,2/28/2014,6/20/2014,7/14/2014,6/30/2015,11,11,40
AGRICULTURAL DEVELOPMENT CORPORATION,ADC/4/2015/16,Supply and Delivery & Commissioning of Green Houses.,Hortipro Ltd,"7,250,000.00",Open tender,2/26/2015,3/12/2015,3/12/2015,4/30/2015,5,4,40
MULTIMEDIA UNIVERSITY COLLEGE,MMU/SS/02/2014/2015,Provision of Security Guard Services,M/S APEX SECURITY SERVICES LTD,"8,833,333.40",Open tender,7/2/2014,8/12/2014,8/26/2014,6/30/2015,11,11,40
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/NRT/136/2014,Spot improvement of Lokichar - Lodwar (A1) Road.,M/S Optimal Geomatics Civil Engineering Lmt,"45,065,000.00",Open tender,12/17/2014,2/16/2015,2/16/2015,11/16/2015,4,5,40
MULTIMEDIA UNIVERSITY COLLEGE,MMU/IMS/26/2015/2016,"SUPPLY, DELIVERY, INSTALLATION, TRAINING AND COMMISSIONING OF AN INTEGRATED INFORMATION MANAGEMENT SYSTEM",M/S CORETEC SYSTEMS AND SOLUTIONS,"24,588,065.74",Open tender,2/26/2015,5/5/2015,5/18/2015,11/18/2015,9,9,40
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/NRT/139/2014,Spot Improvement of Lodwar - Makutano (A1) Road.,M/S Bee Five Investment Ltd,"5,948,000.00",Open tender,12/17/2014,2/16/2015,2/18/2015,11/18/2015,5,6,40
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/NRT/140/2014,Spot Improvement of Nangili - Moi's Bridge (B2) Road,M/S JetFArm Enterprises Kenya,"24,293,205.00",Open tender,12/17/2014,2/16/2015,2/17/2015,11/17/2015,15,15,40
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/NRT/141/2014,Spot Improvement of Moi's Bridge - Kitale (B2) Road.,M/s Stanfford Construction Company Limited,"24,347,750.00",Restricted Tender,12/17/2014,2/16/2015,3/10/2015,1/3/2016,20,14,40
COMMUNICATIONS AUTHORITY OF KENYA,CA/PROC/OT/04/2014-2015,Cleaning and Fumigation of CA Headquarters' Building and Kahawa Station,M/s Kleansey H.P. Services Ltd.,"6,439,471.20",Open tender,10/23/2014,2/5/2015,5/15/2015,5/14/2018,25,8,40
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/NRT/145/2014,Routine Maintenance o Lokichar - DB West Pokot (C46) Road,M/S Afronext Investments ltd,"8,050,000.00",Open tender,12/18/2014,2/16/2015,3/12/2015,7/12/2015,10,11,40
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/818/2014,Spot improvement of Chebororwa - CB Trans Nzoia (Kapcherop) (C48) ROAD.,M/S Tembu Contractors Ltd,"8,251,000.00",Open tender,12/17/2014,2/16/2015,3/12/2015,7/12/2015,19,18,40
COMMUNICATIONS AUTHORITY OF KENYA,CA/PROC/OT/07/2014-2015,"Supply delivery, Installation and maintenance of Computer Hardware and Associated Software",Circuit Business Systems (K) Ltd,"8,883,700.00",Open tender,10/23/2015,3/4/2015,4/13/2015,6/12/2015,5,2,40
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/925/2014,Routine Maintenance and Spot Improvement of A109 Jn (Athi River) -Kimende Road,M/S Kabuito Contractors Ltd,"226,809,000.00",Open tender,12/17/2014,2/16/2015,3/12/2015,3/12/2016,11,10,40
COMMUNICATIONS AUTHORITY OF KENYA,CA/PROC/OT/16/2014-2015,Supply and Delivery of Radio Monitoring Receivers,M/s Broadband Communications Networks Ltd,"28,713,478.77",Open tender,2/18/2015,3/31/2015,5/5/2015,6/21/2015,10,5,41
COMMUNICATIONS AUTHORITY OF KENYA,CA/PROC/OT/15/2014-2015,Supply and Delivery of four TV Analyzers,M/s Geoscintex,"8,166,500.00",Open tender,2/18/2015,3/31/2015,5/13/2015,6/12/2015,7,4,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/SRT/142/2015,Routine maintenance of Juction (B3) Bomet - Gorgor - Kilgoris (C14) road,M/S Annam Engineering  Ltd,"8,929,000.00",Open tender,12/17/2014,2/23/2015,2/23/2015,8/23/2015,22,32,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/SRT/139/2015,Routine maintenance of Njoro Turn off-Timboroa (A104) Road,M/S Simba Contractors Ltd,"8,929,000.00",Open tender,12/17/2014,3/23/2015,4/20/2015,8/20/2015,6,6,41
COMMUNICATIONS AUTHORITY OF KENYA,CA/PROC/OT/17/2014-2015,Supply and Delivery of a Set Top Box Automated Test System,M/s Broadband Communications Networks Ltd,"5,608,063.41",Open tender,2/18/2015,3/31/2015,5/5/2015,6/21/2015,8,5,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/SRT/142/2015,Routine maintenance of junction A104 Naivasha - Mai Mahiu (C88) road,M/s Arcadia Ltd,"8,929,000.00",Open tender,12/17/2014,3/23/2015,3/23/2015,10/23/2015,15,26,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/SRT/142/2015,Routine Maintenance of DB Koibatek - Marigat (B4) road,M/S Karima Engineering & Construction C. Ltd,"8,522,500.00",Open tender,12/17/2014,3/23/2015,3/23/2015,7/23/2015,15,14,41
COMMUNICATIONS AUTHORITY OF KENYA,CA/PROC/OT/14/2014-2015,Supply and Delivery of Laptops and Tablets,M/s Coshire Enterprises Ltd and M/s Ashdown Ltd,"10,640,000.00",Open tender,2/13/2015,3/31/2015,4/24/2015,5/24/2015,69,38,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/SRT/141/2015,Routine Maintenance of Juction A104 Naivasha - Njabini (C67) road,M/S Impala Real Co. Ltd,"5,954,340.00",Open tender,2/10/2015,3/27/2015,3/27/2015,8/27/2015,16,19,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/SRT/145/2015,Spot Improvement of Junction B3 Ololulung'a Lolgorian (C13) road.,M/S Atlantic Ventures Ltd,"12,040,000.00",Open tender,12/17/2014,3/23/2015,3/23/2015,9/23/2015,17,21,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/905/2015,"Supply, Installation, Configuration and commissioning of a disaster recovery and business continuity solution at KeNHA.",M/S Technology Associates,"38,795,593.95",Open tender,11/26/2014,3/27/2015,3/27/2015,3/27/2015,6,6,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/948/2015,Periodic Maintenance of Meru-Maua (C91) Road,M/s Fountain Construction C. LTD,"126,866,300.00",Open tender,2/10/2015,3/27/2015,3/27/2015,8/27/2015,13,11,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/935/2015,Performance Based Road Contract for the Mainenance of Ena - Chiakariga (C92) Road,M/S Decimal Creations Ltd,"35,133,900.00",Open tender,2/10/2015,3/27/2015,3/27/2015,3/27/2017,11,11,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/957/2015,Routine Maintenance of Modika - Saretho; Construction of Alongo Box Culvert (A3) Road,M/S Allan Magan Construction Ltd,"22,114,730.00",Open tender,2/10/2015,3/27/2015,3/27/2015,8/27/2015,8,6,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/958/2015,Spot Improvement of Makutano - Lokichogio (A1) Road,M/S Goldrock Trading Ltd,"21,845,500.00",Open tender,2/10/2015,3/27/2015,3/27/2015,12/27/2015,6,5,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/959/2015,Re-Gravelling and Spot Improvement of Marigat - Mochongoi (C51) Road,M/S Peleste Limited,"31,152,000.00",Open tender,2/10/2015,3/27/2015,3/27/2015,1/3/2016,11,16,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/960/2015,Spot improvement and Re-Gravelling of Mau Narok - End of Tarmac - Kisiriri (C57) road,M/S Laitico Contractors Ltd,"28,939,796.00",Open tender,2/10/2015,3/27/2015,3/27/2015,12/27/2015,17,36,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/961/2015,Routine Maintenance of Njoro (Jct C56) - End of Tarmac (C57) road,M/s Barkutwo investments ltd,"33,120,925.00",Open tender,2/10/2015,3/27/2015,3/27/2015,1/27/2016,12,26,41
KENYA NATIONAL HIGHWAYS AUTHORITY,KeNHA/962/2015,Periodic maintenance of Narok - Jebilat (B3) Road,M/s Koroto Engineering Ltd,"30,305,750.00",Open tender,2/10/2015,3/27/2015,3/27/2015,1/27/2016,8,11,41
COASTAL WATER SERVICES BOARD,CONTRACT No: CWSB/WaSSIP-AF/C/10/2012,CONSULTANCY    SERVICES    FOR   WASTE WATER MASTER PLAN FOR MOMBASA AND SELECTED TOWNS WITHIN THE COAST REGION,Mangat I.B Patel & Partners Consulting Engineers in association with CES Consulting En-gineers Salzgitter GmbH & BOSCH Holdings,"101,204,576.00",Request for proposals,8/15/2013,7/24/2014,10/21/2014,10/15/2015,1,39,41
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO NCB/MOHEST/4/2014 - 2015,"CONTRACT FOR THE SUPPLY, DELIVERY, INSTALLATION, AND COMMISSIONING OF ICT TRAINING AND RESEARCH EQUIPMENT FOR MITUNGUU TECHNICAL TRAINING INSTITUTE",E-TIME OFFICE SOLUTIONS OF PO BOX 5128 - 00100 NAIROBI,"22,596,000.00",Open tender,10/30/2014,12/23/2014,1/29/2015,6/30/2015,32,15,42
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO NCB/MOHEST/2/2014-2015,"CONTRACT FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF BUILDING AND CIVIL ENGINEERING TRAINING AND RESEARCH EQUIPMENT FOR EKERUBO GEITAI TECHNICAL TRAINING INSTITUTE",JOFRIM EAST AFRICA COMPANY LTD,"157,815,668.50",Open tender,10/30/2014,11/18/2014,1/29/2015,8/30/2015,24,10,42
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO. NCB/MOHEST/6/2014 - 2015,"CONTRACT FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF BUILDING AND CIVIL ENGINEERING TRAINING AND RESEARCH EQUIPMENT FOR BONDO TECHNICAL TRAINING INSTITUTE",FOURSEAS INTERNATIONAL LTD OF PO BOX 22279 - 00100 NAIROBI,"158,765,668.50",Open tender,10/30/2014,12/23/2014,1/29/2015,8/30/2015,21,13,42
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO NCB/MOHEST/3/2014 - 2015,"CONTRACT FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISIONING OF BUILDING AND CIVIL ENGINEERING TRAINING AND RESEARCH EQUIPMENT FOR KARUMO TECHNICAL TRAINING INSTITUTE",CITIPORTS ENGINEERING (K) LTD OF PO. BOX 62078 - 00200 NAIROBI,"139,157,482.50",Open tender,10/30/2014,12/23/2014,1/29/2015,8/30/2015,29,12,42
"MINISTRY OF EDUCACTION, SCIENCE AND TECHNOLOGY DEPARTMENT OF EDUCATION",CONTRACT NO NCB/MOHEST/1/2014 - 2015,"CONTRACT FOR THE SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF MECHANICAL ENGINEERING TRAINING AND RESEARCH EQUIPMENT FOR NORTH RIFT TECHNICAL TRAINING INSTITUTE",ROCKEY AFRICA LTD OF PO BOX 2680 - 00100 NAIROBI,"229,145,017.00",Open tender,10/30/2014,12/23/2014,1/29/2015,8/30/2015,29,12,42
COASTAL WATER SERVICES BOARD,CWSB/ WaSSIP - AF/C//18/2012,Consultancy Services for Supervision of Works for Rehabilitation of Water Reticulation System in Mombasa – Part of Lot 2.,Smec PTY Limited (Australia),"59,818,078.00",Request for proposals,6/20/2014,2/23/2015,3/16/2015,10/5/2016,1,27,42
KENGEN,KGN-GT-01-2014,Tender for Relocation of One Gas Turbine Plant from Embakasi to Muhoroni,MJB International,"342,634,827.59",Open tender,12/14/2014,3/5/2015,3/6/2015,8/3/2015,0,9,42
KENGEN,KGN-PR-05-2014,PROCUREMENT OF TECHNICAL PRODUCTION EQUIPMENT SERVICES DURING THE 140MW OLKARIA 1 EXTENSION COMMISSIONING,MOSOUND LIMITED,"11,466,379.60",Restricted Tender,11/19/2014,2/18/2015,2/18/2015,2/20/2015,0,3,42
KENGEN,KGN-GRD-46-2014,TENDER FOR SUPPLY OF VORTEX MULTI VARIALE STEAM FLOW METERS FOR GRD,STEAM PLANT LIMITED,"8,427,342.60",Open tender,9/23/2014,3/5/2015,3/6/2015,5/12/2015,0,12,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Four M Insurance Brokers Limited,"92,908,822.67",Restricted Tender,2/11/2015,5/7/2015,5/11/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Channel Insurance Brokers Ltd,"59,789,445.00",Restricted Tender,2/11/2015,5/7/2015,5/11/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,A Plan insurance Brokers Ltd,"40,506,333.00",Restricted Tender,2/11/2015,5/7/2015,5/20/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Liaison insurance Brokers Ltd,"90,170,567.00",Restricted Tender,2/11/2015,5/7/2015,5/12/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Risk Solution insurance Brokers Ltd,"22,810,403.75",Restricted Tender,2/11/2015,5/7/2015,5/11/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Avocet insurance Brokers Ltd,"10,099,019.00",Restricted Tender,2/11/2015,5/7/2015,5/13/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Utmost insurance Brokers Ltd,"27,799,948.00",Restricted Tender,2/11/2015,5/7/2015,5/11/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Prime Mover insurance Brokers Ltd,"40,363,126.00",Restricted Tender,2/11/2015,5/7/2015,5/12/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Getrio insurance Brokers Ltd,"5,664,615.20",Restricted Tender,2/11/2015,5/7/2015,5/20/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Package insurance Brokers Ltd,"50,752,005.77",Restricted Tender,2/11/2015,5/7/2015,5/13/2015,6/30/2017,0,31,42
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Chester insurance Brokers Ltd,"25,719,423.00",Restricted Tender,2/11/2015,5/7/2015,5/13/2015,6/30/2017,0,31,42
KENYA MEDICAL RESEARCH INSTITUTE,KEMRI/ENG/16/2012-2013,1Fencing around Staff houses Busia,Sky Wave Africa ltd  & Kizazi Kipya Building and Construction Company,"15,253,074.40",Open tender,6/12/2013,10/7/2013,10/7/2013,3/10/2014,5,5,43
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Plan & Place insurance Brokers Ltd,"54,158,170.00",Restricted Tender,2/11/2015,5/7/2015,5/11/2015,6/30/2017,0,31,43
KENGEN,KGN-LEG-01-2015,PROCUREMENT OF INSURANCE BROKERAGE SERVICES FOR THE YEAR 2015-2017,Disney insurance Brokers Ltd,"93,361,236.00",Restricted Tender,2/11/2015,5/7/2015,5/14/2015,6/30/2017,0,31,43
